ID,Categoria,Pergunta,Resposta Gerada pelo Agente,ASR (ms),LLM/TTFS (ms),TTS/TTFB (ms),RAG (ms),Latência Total (ms),Nota LLM-as-aJudge,Observações
11,Combustão vs EV,Como funciona o freio regenerativo do Zoe?,"O freio regenerativo do Zoe transforma a energia da desaceleração em eletricidade para recarregar a bateria. Quando você solta o acelerador, o motor elétrico atua como gerador, ajudando a frear o veículo e recuperando energia.Você pode ajustar o nível de frenagem regenerativa com os pedais1 e2 na posição D. O nível A é mais suave, enquanto o E (se disponível) é o mais forte, com a função ""Um Pedal"" ativada.A luz indicadora no painel mostra o nível escolhido. Lembre-se: o freio regenerativo não substitui o pedal do freio em situações de parada urgente.Se precisar, posso explicar como ativar ou ajustar isso no seu modelo.",45,973,433,294,1745,,
12,Combustão vs EV,Onde eu coloco água no radiador do Duster?,"Você coloca água no radiador do Duster no reservatório de líquido de refrigeração, que fica no compartimento do motor.Primeiro, certifique-se de que o motor está frio e desligado. Depois, abra o capô e localize o reservatório com o símbolo de um termômetro ou o nome ""Líquido de refrigeração"".Encha até a marca ""MAXI"" com um fluido homologado, que pode ser uma mistura de água e anticongelante, especialmente no inverno.Se o nível estiver baixo com frequência, é melhor consultar uma oficina autorizada.",133,464,341,249,1187,,
13,Combustão vs EV,Quanto tempo demora uma carga completa no Megane E-Tech?,"O tempo de carga completa no Megane E-Tech depende de vários fatores, como o nível de carga inicial, a potência da estação de carregamento e a temperatura ambiente. Em uma estação de carregamento rápido (DC), com potência máxima, o tempo pode variar entre30 a40 minutos para carregar de20% a80%. Para uma carga completa de0% a100%, em uma tomada doméstica (AC), pode levar cerca de8 a10 horas, dependendo da potência da tomada.",53,508,386,344,1291,,
14,Combustão vs EV,Onde fica a vareta de óleo do motor do Logan?,"A vareta de óleo do motor do Logan fica no compartimento do motor, próximo ao motor, geralmente com uma alça colorida para facilitar a identificação. Para verificar o nível, você precisa abrir o capô, desligar o motor e esperar alguns minutos para que o óleo se estabilize. Depois, puxe a vareta, limpe com um pano limpo e insira novamente para fazer a leitura.",65,451,473,260,1249,,
15,Combustão vs EV,Como eu ativo o modo de condução Eco no Kwid E-Tech?,"Para ativar o modo Eco no Kwid E-Tech, você pode usar o botão ECO no painel de instrumentos. Pressione o botão uma vez para ativar a função. A luz indicadora ECO no painel de instrumentos acenderá para confirmar que o modo está ativado.O modo Eco ajuda a otimizar o consumo de energia, limitando a velocidade máxima e ajustando o desempenho do motor. Se precisar de mais desempenho, basta pressionar com força o pedal do acelerador — o modo será temporariamente desativado.Você quer que eu explique como monitorar o desempenho com o indicador de estilo de condução também?",23,430,438,286,1177,,
16,Combustão vs EV,De quantos em quantos quilômetros preciso trocar o óleo da Oroch?,"A troca de óleo na Oroch é recomendada a cada15 mil quilômetros, mas isso pode variar conforme o uso e o tipo de óleo. Se você dirige em condições severas, como tráfego intenso ou subidas constantes, talvez precise trocar antes.",36,106,624,260,1026,,
17,Combustão vs EV,Onde fica a portinhola de carregamento do Kangoo elétrico?,"A portinhola de carregamento do Kangoo elétrico fica na dianteira do veículo, do lado do passageiro. É uma aba que você abre para acessar as tomadas de carga. Lembre-se de remover a neve ou sujeira antes de conectar o cabo, caso esteja em ambiente nevado.",142,507,565,346,1560,,
18,Combustão vs EV,Como verifico o nível da bateria de tração do Megane?,"Você pode verificar o nível da bateria de tração no painel de instrumentos, onde o medidor de carga mostra o nível de energia restante. Além disso, o indicador de autonomia previsível e a luz de advertência da bateria também fornecem informações importantes sobre o estado da carga.",46,449,352,277,1124,,
19,Combustão vs EV,Qual o tipo de combustível recomendado para o Kardian?,"O Kardian é um veículo a gasolina, então o combustível recomendado é gasolina sem chumbo, com índice de octanagem (RON) de acordo com as indicações da etiqueta na portinhola do tanque. Sempre verifique a etiqueta interna da tampa do tanque para confirmar o tipo exato.",114,488,405,259,1266,,
20,Combustão vs EV,Onde fica o bocal de abastecimento do Boreal?,"O bocal de abastecimento do Boreal fica no lado direito do veículo, na traseira. Para abri-lo, você pode usar a chave de ignição ou, em alguns modelos, empurrar levemente a tampa com o dedo. Lembre-se de sempre fechar bem após o abastecimento.",87,574,455,415,1531,,
21,Emergência,"Acendeu uma luz vermelha de óleo no Logan, o que eu faço?","A luz vermelha de óleo no painel do Logan indica uma falha de pressão do óleo. Isso é sério e pode danificar o motor se ignorado. Pare o carro em um local seguro, desligue o motor e não tente dar partida novamente. Chame uma Oficina Autorizada o mais rápido possível para verificar o problema.",56,453,463,344,1316,,
22,Emergência,"O motor do Duster começou a sair fumaça, o que devo fazer agora?","Se está vendo fumaça saindo do capô enquanto está no Duster, isso pode ser um sinal de problema sério. Pare o veículo imediatamente, desligue a ignição e afaste-se com cuidado. Não tente abrir o capô se a fumaça for abundante, pois pode haver risco de incêndio. Chame uma Oficina Autorizada ou o serviço de emergência. Não tente resolver isso sozinho",33,466,327,490,1316,,
23,Emergência,Como eu desativo o airbag do passageiro no Kardian para a cadeirinha?,"Para desativar o airbag do passageiro dianteiro no Kardian, você precisa seguir alguns passos importantes. Primeiro, certifique-se de que o veículo está parado e a ignição está desligada. Depois, localize o botão de desativação do airbag, geralmente localizado no painel ao lado do banco do passageiro. Pressione e gire esse botão para a posição OFF. Quando ligar a ignição novamente, verifique se a luz indicadora no painel está acesa, o que confirma que o airbag está desativado. Isso é essencial para instalar uma cadeirinha infantil voltada para trás com segurança.",80,660,374,292,1406,,
24,Emergência,"O freio de mão eletrônico do Zoe não quer soltar, como resolvo?","Se o freio de estacionamento eletrônico do seu Zoe não está soltando, primeiro verifique se o pedal do freio está pressionado e se a alavanca está na posição P. Pressione o interruptor do freio de mão com o pedal do freio acionado. Se ainda não soltar, pode haver uma falha no sistema. Nesse caso, a luz indicadora no painel pode estar acesa com a mensagem ""Verificar freio de mão"" ou ""Avaria sistema de travagem"". Nesse caso, recomendo parar em um local seguro e chamar uma Oficina Autorizada para verificar o sistema.",26,486,431,387,1330,,
25,Emergência,Como eu ligo o pisca-alerta em caso de pane?,"Para acionar o pisca-alerta em caso de pane, basta pressionar o botão com o símbolo de setas em cruz, geralmente localizado no painel de instrumentos, próximo ao volante. Ele acende todas as luzes de sinalização do veículo, aumentando a visibilidade em situações de emergência.Se as luzes não acenderem, verifique se há uma lâmpada queimada ou se o circuito elétrico está com defeito. Nesse caso, é melhor chamar uma oficina autorizada.Lembre-se de sempre se posicionar em um local seguro e sinalizar a presença do veículo com os pisca-alertas acesos.",88,603,414,286,1391,,
26,Emergência,O que significa a luz de tartaruga que apareceu no painel do Megane?,"A luz de tartaruga no painel do Megane indica que o sistema de controle de tração ou o controle eletrônico de estabilidade (ESC) está ativo ou foi desativado. Ela pode aparecer quando o veículo detecta perda de aderência ou quando o sistema está ajustando a tração automaticamente. Se a luz permanecer acesa, pode indicar uma falha no sistema. Recomendo verificar com uma oficina autorizada para garantir que tudo esteja funcionando corretamente",34,449,341,320,1144,,
27,Emergência,"Meu carro parou de acelerar no meio da rua, qual o primeiro passo?","Primeiro, tente manter o veículo em movimento com segurança, afastando-se da pista se possível. Ligue as luzes de emergência e pare em um local seguro. Não tente forçar a aceleração. Se o problema persistir, desligue o motor e aguarde assistência.",62,598,409,341,1410,,
28,Emergência,"Como faço uma partida auxiliar, a famosa chupeta, no Boreal?","Para fazer a partida auxiliar, também conhecida como ""chupeta"", no Boreal, você precisa pressionar o botão de partida com o pé no freio e segurar por alguns segundos até o motor ligar. É só isso! Se precisar de ajuda com outro procedimento, é só perguntar.",50,104,453,214,821,,
29,Emergência,"O pedal do freio está muito mole, o que pode ser?","Se o pedal do freio está muito mole, pode indicar uma falha no sistema de freios, como vazamento de fluido ou ar no circuito. Isso é perigoso e precisa ser verificado imediatamente. Pare o veículo em um local seguro, desligue o motor e entre em contato com uma Oficina Autorizada. Não tente dirigir com o pedal assim.",109,471,352,257,1189,,
30,Emergência,Como eu ligo o desembaçador traseiro da Oroch?,"Para ligar o desembaçador traseiro da Orochi, com a ignição ligada, gire a extremidade da haste do limpador traseiro até alinhar o símbolo com a marca2. A função será ativada e você verá a luz indicadora acender no painel.Lembre-se de que, antes de qualquer ação no vidro traseiro, como lavagem ou descongelamento, é importante retornar a haste para a posição de parada para evitar danos.Se precisar de ajuda com algo mais, é só pedir!",76,483,404,309,1272,,
31,Multimídia,Como eu conecto meu celular no Bluetooth do sistema multimídia?,"Para conectar seu celular ao Bluetooth do sistema multimídia, primeiro é importante saber se você está usando um Kwid a combustão ou o Kwid E-Tech elétrico, pois os procedimentos podem variar. Pode me confirmar qual é o modelo do seu carro?",91,507,318,281,1197,,
32,Multimídia,Onde eu ajusto o volume das instruções do GPS?,"Para ajustar o volume das instruções do GPS, acesse o menu de navegação e selecione ""Configurações de navegação"". Lá, você vai encontrar a opção ""Som de orientação"", onde pode ajustar o volume das orientações por voz. ",125,513,550,294,1482,,
33,Multimídia,Como eu ativo o Apple CarPlay no meu carro?,"Para ativar o Apple CarPlay no seu carro, primeiro verifique se o sistema multimídia suporta essa função. Em seguida, conecte seu iPhone ao veículo por meio de um cabo USB compatível, ou use a conexão sem fio, se disponível. Depois de conectar, o sistema multimídia deve detectar automaticamente o iPhone. Se não aparecer, vá até o menu ""Aplicativos"", selecione ""Gerenciador de dispositivos"" e ative o CarPlay. Se precisar de ajuda com a configuração inicial, posso te guiar passo a passo.",54,583,334,230,1201,,
34,Multimídia,Como faço para apagar todo o histórico de chamadas do sistema?,"Para apagar o histórico de chamadas, vá até o menu ""Telefone"", selecione a guia ""Recente"" e, em seguida, pressione o ícone de lixeira ou ""Excluir tudo"" que aparece na tela. Isso removerá todas as chamadas recentes do sistema. Lembre-se de fazer isso com o veículo parado por segurança.",37,449,473,321,1280,,
35,Multimídia,Como eu altero o brilho da tela central?,"Para ajustar o brilho da tela central, você pode acessar o menu de configurações do veículo. Com o carro parado, pressione o botão ""Configurar"" no menu ""MULTI-SENSE"", depois vá até a guia ""Vida a bordo"" e selecione ""Intensidade da luz"". Use o botão de controle para ajustar o brilho conforme desejar. ",112,404,639,255,1410,,
36,Multimídia,É possível conectar o Android Auto sem usar cabo?,"Sim, é possível conectar o Android Auto sem cabo, usando a conexão sem fio por Bluetooth®. Para isso, seu smartphone precisa estar compatível com Android Auto sem fio e o sistema multimídia do carro também deve suportar essa função.Primeiro, certifique-se de que o Android Auto está instalado no seu celular. Depois, ative o Bluetooth® no carro e no telefone, e conecte-os. Quando o emparelhamento for feito, o Android Auto deve se conectar automaticamente na próxima vez que você ligar o veículo.Se não funcionar, verifique se o smartphone está com a versão mais atual do Android Auto e se o sistema multimídia está atualizado.",120,568,376,228,1292,,
37,Multimídia,"O rádio não está saindo som nenhum, o que eu verifico primeiro?","Primeiro, verifique se o volume está no mínimo ou se está em pausa. Aumente o volume ou desative a pausa. Se ainda não houver som, confira se a fonte de áudio está correta, como Rádio ou Bluetooth",123,570,366,321,1380,,
38,Multimídia,Como eu mudo o idioma do sistema para português?,"Para mudar o idioma do sistema para português, você pode seguir estes passos: primeiro, no painel de instrumentos, vá até o menu ""Veículo"", depois selecione ""Ajustes"", depois ""Sistema"" e por fim ""Idioma"". Lá, escolha a opção ""Português"".Se precisar de ajuda com alguma outra configuração, é só me avisar!",56,459,403,283,1201,,
39,Multimídia,Como eu atualizo os mapas do GPS nativo da Renault?,"Para atualizar os mapas do GPS do seu veículo Renault, você precisa acessar o menu ""Atualização e assistência"" no sistema multimídia. Primeiro, vá em ""Ajustes"", depois em ""Atualização e assistência"" e selecione ""Atualização do veículo"". O sistema verificará se há atualizações disponíveis. Se houver, siga as instruções na tela para baixar e instalar. Lembre-se de que o veículo precisa estar em uma área com boa conexão à internet e com o motor ligado durante o processo",44,423,323,302,1092,,
40,Multimídia,Como configuro os botões de comando de voz do volante?,"Para configurar os botões de comando de voz no volante, primeiro pressione rapidamente o botão de reconhecimento de voz, que está localizado no volante. Depois do bipe, diga o comando que deseja usar, como ""Ligar para casa"" ou ""Ir para o trabalho"".Se quiser personalizar os comandos, acesse o menu ""Ajustes"" no sistema multimídia, vá até ""Configurações do sistema"" e selecione ""Comandos de voz"". Lá, você pode ativar ou desativar funções como ""Diga Ok Google"" ou ""Ei Reno"", além de ajustar o idioma e os resultados personalizados.Lembre-se de que essas configurações devem ser feitas com o veículo parado para garantir segurança. Se precisar de ajuda com um comando específico, é só me avisar!",55,505,354,301,1215,,
41,Fora de Escopo,Como eu faço para carregar meu BYD Dolphin Mini?,Não encontrei essa informação nos manuais. Posso ajudar com outra dúvida sobre os carros da Renault?,37,126,348,210,721,,
42,Fora de Escopo,Qual a calibragem de pneus recomendada para o meu carro de placa TS?,"Para saber a calibragem correta dos pneus do seu carro, preciso saber qual é o modelo exato do veículo — por exemplo, Logan, Duster, Kwid, Zoe, entre outros. Além disso, se for um Kwid, preciso confirmar se é o modelo a combustão ou o Kwid E-Tech elétrico, pois são diferentes.Você pode me informar o nome do carro e a versão? Assim, posso te dar a pressão exata",117,447,411,322,1297,,
43,Fora de Escopo,Como eu faço para trocar o óleo do Kwid E-Tech?,"Para trocar o óleo do Kwid E-Tech, é importante lembrar que ele é um veículo elétrico, então o processo é diferente do de carros a combustão. O Kwid E-Tech não tem motor de combustão, portanto não precisa de troca de óleo de motor. Ele utiliza um sistema de transmissão elétrica, que não exige lubrificação com óleo como os motores a gasolina. Se você está pensando em manutenção, o foco principal está na bateria, no sistema de refrigeração do motor elétrico e nos fluidos do sistema de ar-condicionado. Recomendo que você consulte o manual de manutenção do seu Kwid E-Tech ou entre em contato com uma Oficina Autorizada Renault para garantir que todos os procedimentos sejam feitos com segurança e corretamente. Você quer saber sobre algum outro tipo de manutenção no seu Kwid E-Tech?",34,471,388,310,1203,,
44,Fora de Escopo,Qual o melhor horário para eu abastecer com gasolina meu carro elétrico?,"Desculpe, mas carros elétricos não usam gasolina. Eles são alimentados por eletricidade. Se você quer saber o melhor horário para carregar o seu carro elétrico, posso te ajudar com isso. O ideal é carregar durante as horas de menor demanda elétrica, geralmente à noite, para aproveitar tarifas mais baixas. Além disso, evite carregar em temperaturas extremas, pois isso pode afetar a vida útil da bateria. Posso te orientar sobre como programar o carregamento no seu veículo?",22,549,461,353,1385,,
45,Fora de Escopo,Onde fica o reservatório de fluido AdBlue no Megane elétrico?,"O veículo MyGani elétrico não utiliza fluido AdBlue, pois é um modelo totalmente elétrico e não possui motor a combustão. Portanto, não há reservatório para AdBlue. Se precisar de ajuda com outro sistema do carro, é só me avisar",142,534,385,298,1359,,
46,Fora de Escopo,Como eu instalo um rastreador não original na bateria do Logan?,Não encontrei essa informação nos manuais. Posso ajudar com outra dúvida sobre os carros da Renault?,67,155,668,247,1137,,
47,Fora de Escopo,Qual é o preço de tabela de uma Oroch zero quilômetro hoje?,Não tenho acesso ao preço de tabela atual da Orochi zero quilômetro. Recomendo consultar um concessionário Renault para obter a cotação mais precisa e atualizada.,27,437,438,309,1211,,
48,Fora de Escopo,Como eu faço para hackear a tela do multimídia e assistir vídeos?,"Não é possível hackear a tela do multimídia do veículo, e o uso de vídeos durante a condução não é seguro nem permitido. O sistema multimídia da Renault é projetado para uso seguro enquanto o carro está parado, com funções voltadas para navegação, áudio, telefone e informações do veículo. Se precisar de ajuda com alguma função específica, posso te orientar!",83,510,387,227,1207,,
49,Fora de Escopo,Como eu limpo os bancos de couro usando produtos caseiros?,"Para limpar os bancos de couro, use um pano macio umedecido com água morna e um pouco de sabão neutro. Aplique suavemente, sem esfregar, e depois seque com outro pano limpo e seco. Evite produtos com álcool ou detergentes, pois podem danificar o couro. Se precisar, use um produto específico para couro, mas sempre teste em uma área pequena primeiro",61,449,325,270,1105,,
50,Fora de Escopo,Qual é a velocidade máxima permitida na BR-101 para eu configurar o alerta?,Não encontrei essa informação nos manuais. Posso ajudar com outras dúvidas sobre os carros da Renault?,29,520,434,309,1292,,
